Year,Month,Day,Weekday,Week
2003,March,2,Sunday,10
2003,March,9,Sunday,11
2003,March,23,Sunday,13
2003,March,31,Monday,14
2003,April,16,Wednesday,16
2003,June,4,Wednesday,23
2003,June,12,Thursday,24
2003,July,2,Wednesday,27
2003,July,2,Wednesday,27
2003,July,15,Tuesday,29
2003,July,16,Wednesday,29
2003,July,21,Monday,30
2003,August,1,Friday,31
2003,August,7,Thursday,32
2003,August,7,Thursday,32
2003,August,11,Monday,33
2003,August,18,Monday,34
2003,August,19,Tuesday,34
2003,September,4,Thursday,36
2003,September,24,Wednesday,39
2003,October,4,Saturday,40
2003,October,16,Thursday,42
2003,October,19,Sunday,43
2003,October,28,Tuesday,44
2003,November,8,Saturday,45
2003,November,17,Monday,47
2003,November,18,Tuesday,47
2003,November,23,Sunday,48
2003,December,11,Thursday,50
2003,December,27,Saturday,52
2004,January,3,Saturday,1
2004,January,4,Sunday,2
2004,January,17,Saturday,3
2004,January,25,Sunday,5
2004,January,26,Monday,5
2004,February,13,Friday,7
2004,February,19,Thursday,8
2004,February,26,Thursday,9
2004,March,1,Monday,10
2004,March,3,Wednesday,10
2004,March,14,Sunday,12
2004,April,13,Tuesday,16
2004,April,29,Thursday,18
2004,May,11,Tuesday,20
2004,May,12,Wednesday,20
2004,May,22,Saturday,21
2004,May,24,Monday,22
2004,June,5,Saturday,23
2004,June,6,Sunday,24
2004,June,15,Tuesday,25
2004,June,16,Wednesday,25
2004,June,29,Tuesday,27
2004,June,30,Wednesday,27
2004,July,11,Sunday,29
2004,July,22,Thursday,30
2004,July,23,Friday,30
2004,August,4,Wednesday,32
2004,August,13,Friday,33
2004,August,15,Sunday,34
2004,August,16,Monday,34
2004,September,9,Thursday,37
2004,September,30,Thursday,40
2004,October,2,Saturday,40
2004,October,6,Wednesday,41
2004,October,11,Monday,42
2004,October,16,Saturday,42
2004,November,3,Wednesday,45
2004,November,7,Sunday,46
2004,November,8,Monday,46
2004,December,26,Sunday,53
2005,January,13,Thursday,3
2005,January,15,Saturday,3
2005,February,3,Thursday,6
2005,February,5,Saturday,6
2005,February,11,Friday,7
2005,February,13,Sunday,8
2005,February,16,Wednesday,8
2005,February,23,Wednesday,9
2005,March,18,Friday,12
2005,March,18,Friday,12
2005,March,23,Wednesday,13
2005,April,3,Sunday,15
2005,April,23,Saturday,17
2005,May,30,Monday,23
2005,June,3,Friday,23
2005,June,3,Friday,23
2005,June,4,Saturday,23
2005,June,13,Monday,25
2005,June,21,Tuesday,26
2005,June,23,Thursday,26
2005,June,23,Thursday,26
2005,July,20,Wednesday,30
2005,August,8,Monday,33
2005,August,23,Tuesday,35
2005,October,6,Thursday,41
2005,October,22,Saturday,43
2005,November,2,Wednesday,45
2005,November,29,Tuesday,49
2005,December,14,Wednesday,51
2005,December,14,Wednesday,51
2005,December,18,Sunday,52
2006,January,1,Sunday,1
2006,January,5,Thursday,1
2006,January,7,Saturday,1
2006,March,19,Sunday,12
2006,April,13,Thursday,15
2006,April,15,Saturday,15
2006,April,26,Wednesday,17
2006,April,29,Saturday,17
2006,May,31,Wednesday,22
2006,June,2,Friday,22
2006,June,3,Saturday,22
2006,July,23,Sunday,30
2006,August,9,Wednesday,32
2006,August,10,Thursday,32
2006,August,17,Thursday,33
2006,August,18,Friday,33
2006,September,17,Sunday,38
2006,October,13,Friday,41
2006,October,19,Thursday,42
2006,October,24,Tuesday,43
2006,November,6,Monday,45
2006,November,17,Friday,46
2006,November,21,Tuesday,47
2006,December,26,Tuesday,52
2007,January,17,Wednesday,3
2007,January,20,Saturday,3
2007,February,5,Monday,6
2007,March,2,Friday,9
2007,April,6,Friday,14
2007,April,28,Saturday,17
2007,May,27,Sunday,22
2007,June,3,Sunday,23
2007,July,11,Wednesday,28
2007,July,20,Friday,29
2007,July,25,Wednesday,30
2007,August,8,Wednesday,32
2007,August,24,Friday,34
2007,September,2,Sunday,36
2007,September,22,Saturday,38
2007,September,24,Monday,39
2007,October,3,Wednesday,40
2007,October,6,Saturday,40
2007,November,6,Tuesday,45
2007,November,26,Monday,48
2007,December,3,Monday,49
2007,December,8,Saturday,49
2007,December,12,Wednesday,50
2007,December,15,Saturday,50
2007,December,16,Sunday,51
2007,December,30,Sunday,53
2008,January,10,Thursday,2
2008,January,20,Sunday,4
2008,January,26,Saturday,4
2008,February,18,Monday,8
2008,March,5,Wednesday,10
2008,April,1,Tuesday,14
2008,April,12,Saturday,15
2008,April,29,Tuesday,18
2008,May,12,Monday,20
2008,May,14,Wednesday,20
2008,May,24,Saturday,21
2008,June,18,Wednesday,25
2008,June,21,Saturday,25
2008,July,3,Thursday,27
2008,July,7,Monday,28
2008,July,16,Wednesday,29
2008,July,23,Wednesday,30
2008,August,16,Saturday,33
2008,August,20,Wednesday,34
2008,September,5,Friday,36
2008,September,12,Friday,37
2008,September,13,Saturday,37
2008,October,6,Monday,41
2008,October,11,Saturday,41
2008,October,11,Saturday,41
2008,November,7,Friday,45
2008,November,8,Saturday,45
2008,November,14,Friday,46
2008,November,16,Sunday,47
2008,November,19,Wednesday,47
2008,December,3,Wednesday,49
2008,December,4,Thursday,49
2008,December,7,Sunday,50
2008,December,21,Sunday,52
2008,December,31,Wednesday,53
